,,,,,,
设备ID,报文类型,报文说明,报文功能码,原始报文,数据采集时间,数据入库时间
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009126020208470003cc83,2026-02-02 08:47:00,2026-02-02 08:47:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020091260202084600030cd2,2026-02-02 08:46:00,2026-02-02 08:46:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200902602020845221b5da4,,2026-02-02 08:45:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020090260202084522f1f1109033085350f0f026020208452219000000272b0000000000392300000161371b000000302b000004300020190000001f1900000026190000001a1900000038121150039208,2026-02-02 08:45:00,2026-02-02 08:45:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009026020208450003c0e3,2026-02-02 08:45:00,2026-02-02 08:45:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f00080200902602020844000300b2,2026-02-02 08:44:01,2026-02-02 08:44:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009026020208430003c103,2026-02-02 08:43:00,2026-02-02 08:43:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020090260202084200030152,2026-02-02 08:42:00,2026-02-02 08:42:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f00080200902602020841000301a2,2026-02-02 08:41:01,2026-02-02 08:41:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802008f2602020840221b10f5,,2026-02-02 08:40:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02008f260202084021f1f1109033085350f0f026020208402219000000272b0000000000392300000151371b000000302b000004300020190000001f1900000026190000001a1900000038121148033b42,2026-02-02 08:40:00,2026-02-02 08:40:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008f260202084000038db2,2026-02-02 08:40:01,2026-02-02 08:40:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008f260202083900035463,2026-02-02 08:39:01,2026-02-02 08:39:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008f260202083800039432,2026-02-02 08:38:00,2026-02-02 08:38:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008f260202083700039702,2026-02-02 08:37:00,2026-02-02 08:37:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008f260202083600035753,2026-02-02 08:36:00,2026-02-02 08:36:00
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802008e2602020835221b0625,,2026-02-02 08:35:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02008e260202083521f1f1109033085350f0f026020208352219000000272b0000000000392300000150371b000000302b000004300020190000001f1900000026190000001a190000003812114703b90c,2026-02-02 08:35:00,2026-02-02 08:35:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008e260202083500039b62,2026-02-02 08:35:00,2026-02-02 08:35:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008e260202083400035b33,2026-02-02 08:34:00,2026-02-02 08:34:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008e260202083300039a82,2026-02-02 08:33:00,2026-02-02 08:33:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008e260202083200035ad3,2026-02-02 08:32:00,2026-02-02 08:32:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008e260202083100035a23,2026-02-02 08:31:00,2026-02-02 08:31:00
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802008d2602020830231b8274,,2026-02-02 08:30:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02008d260202083021f1f1109033085350f0f026020208302219000000272b0000000000392300000148371b000000302b000004300020190000001f1900000026190000001a190000003812114603a095,2026-02-02 08:30:00,2026-02-02 08:30:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008d260202083000038f32,2026-02-02 08:30:00,2026-02-02 08:30:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008d2602020829000348e3,2026-02-02 08:29:01,2026-02-02 08:29:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008d2602020828000388b2,2026-02-02 08:28:00,2026-02-02 08:28:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008d260202082700038b82,2026-02-02 08:27:00,2026-02-02 08:27:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008d260202082600034bd3,2026-02-02 08:26:00,2026-02-02 08:26:00
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802008c2602020825231b8aa4,,2026-02-02 08:25:24
